2026-09-11	Timon Dzienus	BÜNDNIS 90/DIE GRÜNEN	21/94	32	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	32	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Sandra Carstensen	CDU/CSU	21/94	33	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	34	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	34	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	36	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	37	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	38	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	René Springer	AfD	21/94	38	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	38	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Yannick Bury	CDU/CSU	21/94	38	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	40	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	44	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Sergej Minich	AfD	21/94	44	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	46	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Wiebke Esdar	SPD	21/94	46	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Wiebke Esdar	SPD	21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Wiebke Esdar	SPD	21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Paula Piechotta	BÜNDNIS 90/DIE GRÜNEN	21/94	48	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	50	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Isabelle Vandre	Die Linke	21/94	50	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	52	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vielen Dank. Isabelle Vandre	Die Linke	21/94	52	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	52	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Inge Gräßle	CDU/CSU	21/94	52	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	53	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Inge Gräßle	CDU/CSU	21/94	53	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	53	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Inge Gräßle	CDU/CSU	21/94	53	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	54	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Nicole Höchst	AfD	21/94	54	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	55	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Ruppert Stüwe	SPD	21/94	55	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	57	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Ayse Asar	BÜNDNIS 90/DIE GRÜNEN	21/94	57	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	59	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Ayse Asar	BÜNDNIS 90/DIE GRÜNEN	21/94	59	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	59	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Nicole Gohlke	Die Linke	21/94	59	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	60	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Florian Müller	CDU/CSU	21/94	60	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	62	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Stefan Schröder	AfD	21/94	62	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	64	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vielen Dank. Stefan Schröder	AfD	21/94	64	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	64	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Holger Mann	SPD	21/94	64	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
